book_rank,book_index,family_id,audit_family_id,slug,home,home_order,home_rank,home_index,home_first_book_rank,first_appearance_part,first_appearance_anchor,first_appearance_member,constructor,coverage,closed_parameters,defining_source_refs,name_relations
1,B001,SPF050,F053,synchronous-local-state-transform,automata,1,1,AUT001,1,main-text,CH02:L13-23,elementary_cellular_automaton,ca.catalog.automata.synchronous_local_state_transform,covered,seed;stencil;local_law;boundary;feedback,"CH10:L323-347 | N10:L328-347 | N03:L135-150,L190,L192-225","eca, elementary_cellular_automaton | T02–T07, T21–T24 presets | T44 family-level alias implemented as a preset"
2,B002,SPF030,F031,mobile-head-grid-rewrite,machina,2,1,MAC001,2,main-text,CH03:L169,mobile_automaton,ca.catalog.machina.mobile_head_grid_rewrite,covered,tape;transitions;head;stencil;boundary,CHAPTERS/05-Two-Dimensions-and-Beyond/05-Two-Dimensions-and-Beyond.md:L127-131,"turing_machine | T09 mobile, T10 repaired neighbor-updating, T25 2-D presets"
3,B003,SPF032,F033,multi-active-local-rewrite,automata,1,2,AUT002,1,main-text,CH03:L231,multi-active-local-rewrite,ca.catalog.automata.multi_active_local_rewrite,covered,seed;local_law;collision_law;schedule,CH03:L231-247,generalized_mobile_automaton preset
4,B004,SPF037,F038,parallel-independent-substitution,substitua,3,1,SUB001,4,main-text,CH03:L299,parallel-independent-substitution,ca.catalog.substitua.parallel_independent_substitution,covered,seed;productions;schedule;geometry,"CH03:L299-307,L343-363",T15 merge | T26/T27/T42 presets | neighbor_independent_substitution
5,B005,SPF005,F005,context-dependent-substitution,substitua,3,2,SUB002,4,main-text,CH03:L333,context-dependent-substitution,ca.catalog.substitua.context_dependent_substitution,covered,seed;productions;context_shape;boundary,CH03:L333-337,neighbor_dependent_substitution | T28 2-D preset
6,B006,SPF049,F052,structural-pattern-rewrite,substitua,3,3,SUB003,4,main-text,CH03:L369,sequential_substitution,ca.catalog.substitua.structural_pattern_rewrite,covered,expression;patterns;replacements;scan;nonoverlap,CH03:L531-537 | N03:L823-835 | CH10:L909-915,symbolic_system | T16 sequential-substitution preset
7,B007,SPF016,F017,front-delete-rear-append-system,substitua,3,4,SUB004,4,main-text,CH03:L423,front-delete-rear-append-system,ca.catalog.substitua.front_delete_rear_append_system,covered,seed;deletion_width;productions;phase_cycle,"CH03:L423-445,L447-471",tag_system | T18 cyclic_tag_system preset
8,B008,SPF045,F048,register-machine,machina,2,2,MAC002,2,main-text,CH03:L473,register-machine,ca.catalog.machina.register_machine,covered,program;registers;entry,"CH03:L473-509,L519-525",register_machine
9,B009,SPF026,F027,iterated-map,automata,1,3,AUT003,1,main-text,CH04:L53,iterated-map,ca.catalog.automata.iterated_map,covered,seed;map_expression;guards;terminal_condition,"CHAPTERS/04-Systems-Based-on-Numbers/04-Systems-Based-on-Numbers.md:L53-54,L111-118,L472-491","T34 arithmetic, T35 piecewise, and T36 digit-reversal presets"
10,B010,SPF023,F024,indexed-history-recurrence,substitua,3,5,SUB005,4,main-text,CH04:L169,indexed-history-recurrence,ca.catalog.substitua.indexed_history_recurrence,covered,prefix;recurrence;index_law;invalidity,CHAPTERS/04-Systems-Based-on-Numbers/04-Systems-Based-on-Numbers.md:L169-186,T38 variable-index preset
11,B011,SPF025,F026,iterated-erasure-process,substitua,3,6,SUB006,4,main-text,CH04:L211,iterated-erasure-process,ca.catalog.substitua.iterated_erasure_process,covered,seed;erasure_predicate;rank_convention,CHAPTERS/04-Systems-Based-on-Numbers/04-Systems-Based-on-Numbers.md:L211-214,number_theoretic_filtering preset
12,B012,SPF008,F008,digit-emitting-register-transduction,media,4,1,MED001,12,main-text,CH04:L303,digit-emitting-register-transduction,ca.catalog.media.digit_emitting_register_transduction,covered,seed;register_law;base;digit_projection,"CHAPTERS/04-Systems-Based-on-Numbers/04-Systems-Based-on-Numbers.md:L303-308,L343-350",T40 split branch | P constant_digit_register
13,B013,SPF039,F041,partial-differential-relation,dynamica,5,1,DYN001,13,main-text,CH04:L625,partial-differential-relation,ca.catalog.dynamica.partial_differential_relation,covered,domain;coefficients;differential_relation;side_data,"CHAPTERS/04-Systems-Based-on-Numbers/04-Systems-Based-on-Numbers.md:L625-674 | N08:L84-105,L322-328",T45 canonical constructor | pde true alias
14,B014,SPF038,F040,parallel-network-rewrite,substitua,3,7,SUB007,4,main-text,CH05:L239,network_rewrite,ca.catalog.substitua.parallel_network_rewrite,covered,seed;patches;port_schema;overlap_law,"CHAPTERS/05-Two-Dimensions-and-Beyond/05-Two-Dimensions-and-Beyond.md:L241,L287-331",network_rewrite | broad network_system is not exported
15,B015,SPF033,F034,multiway-rewrite,substitua,3,8,SUB008,4,main-text,CH05:L355,multiway-rewrite,ca.catalog.substitua.multiway_rewrite,covered,seed;rewrites;match_semantics;quotient,CHAPTERS/05-Two-Dimensions-and-Beyond/05-Two-Dimensions-and-Beyond.md:L355-369,multiway_system true alias
16,B016,SPF029,F030,local-satisfaction-relation,criteria,6,1,CRI001,16,main-text,CH05:L433,local_constraint_system,ca.catalog.criteria.local_satisfaction_relation,covered,partial_assignment;templates;boundary;obligations,CH09:L595-615 | N09:L324-330,T31 | T32 template name | T33 seeded-template preset
17,B017,SPF019,F020,global-score-sequential-placement,substitua,3,9,SUB009,4,main-text,CH07:L417,stochastic-frontier-aggregation,ca.catalog.substitua.global_score_sequential_placement,addition,seed;score_expression;placement_shape;depletion_kernel;tie_law,CH08:L531-547 | N08:L223-225,
18,B018,SPF047,F050,stochastic-local-search,criteria,6,2,CRI002,16,main-text,CH07:L553,stochastic-local-search,ca.catalog.criteria.stochastic_local_search,addition,incumbent;objective;constraints;proposal;acceptance,CHAPTERS/07-Mechanisms-in-Programs-and-Nature/07-Mechanisms-in-Programs-and-Nature.md:L553-596,
